,sketchID,numBackground,numCausal,numFunctional,numSymbol,totalStrokes,propCausal,propFunctional,propSymbol,propBackground
55,gears_2.0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,6.0,3.0,3.0,0.0,12.0,0.25,0.25,0.0,0.5
56,gears_2.0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,1.0,6.0,0.0,9.0,16.0,0.375,0.0,0.5625,0.0625
57,gears_2.0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,1.0,2.0,3.0,6.0,12.0,0.16666666666666666,0.25,0.5,0.08333333333333333
58,gears_2.1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,2.0,3.0,3.0,1.0,9.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.2222222222222222
59,gears_2.1073-31f69960-6dfc-4e45-9a3c-6d7eaa33103e,9.0,3.0,3.0,0.0,15.0,0.2,0.2,0.0,0.6
60,gears_2.1350-5a8211e1-f5ee-4256-b1cc-2f4f0e6b08c3,3.0,3.0,3.0,0.0,9.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
61,gears_2.1568-93d31830-7fa2-4f39-8dac-4da643666140,4.0,7.0,9.0,12.0,32.0,0.21875,0.28125,0.375,0.125
62,gears_2.1881-7a2da28a-47fe-4371-abd1-e8ca6740eada,1.0,40.0,38.0,0.0,79.0,0.5063291139240507,0.4810126582278481,0.0,0.012658227848101266
63,gears_2.1887-0675d919-20c4-4940-9610-d294d43c9bc1,3.0,2.0,4.0,0.0,9.0,0.2222222222222222,0.4444444444444444,0.0,0.3333333333333333
64,gears_2.1991-e997567a-fe35-409f-a17b-8a14b7585294,2.0,3.0,3.0,8.0,16.0,0.1875,0.1875,0.5,0.125
65,gears_2.2659-dd1b5c39-13c7-4a69-836f-03279f53939d,2.0,13.0,12.0,0.0,27.0,0.48148148148148145,0.4444444444444444,0.0,0.07407407407407407
66,gears_2.2803-ce4e1ad2-c29d-4097-9d03-c5097c1e103e,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
67,gears_2.2989-156d9df6-e309-430b-bbac-e47b6792127e,5.0,3.0,3.0,0.0,11.0,0.2727272727272727,0.2727272727272727,0.0,0.45454545454545453
68,gears_2.2990-838b4c34-f6c7-4ff8-9d65-2dc73da4632e,9.0,4.0,3.0,0.0,16.0,0.25,0.1875,0.0,0.5625
69,gears_2.3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,8.0,7.0,3.0,4.0,22.0,0.3181818181818182,0.13636363636363635,0.18181818181818182,0.36363636363636365
70,gears_2.3890-0990b186-d2cb-4b92-98cb-eb634cf917b8,8.0,3.0,4.0,0.0,15.0,0.2,0.26666666666666666,0.0,0.5333333333333333
71,gears_2.4032-8dfa87ba-2459-483b-a538-b02c05bbdab2,1.0,6.0,6.0,0.0,13.0,0.46153846153846156,0.46153846153846156,0.0,0.07692307692307693
72,gears_2.4439-0eca0566-7cd9-4da5-b710-085e65a285e5,2.0,3.0,3.0,8.0,16.0,0.1875,0.1875,0.5,0.125
73,gears_2.4564-a9b5aa08-b02c-4ba3-a97d-be23a7fd9cc3,10.0,5.0,5.0,0.0,20.0,0.25,0.25,0.0,0.5
74,gears_2.4565-36193ae4-51f5-4fa7-8105-88a5da44b9da,0.0,23.0,0.0,6.0,29.0,0.7931034482758621,0.0,0.20689655172413793,0.0
75,gears_2.4621-e895c1a2-bb35-4aaa-9dea-1fbe89a16b08,5.0,3.0,3.0,0.0,11.0,0.2727272727272727,0.2727272727272727,0.0,0.45454545454545453
76,gears_2.4659-683c0845-cf14-4240-bd20-573c8b7926d8,4.0,4.0,4.0,6.0,18.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222
77,gears_2.4786-26a27eb2-3267-43ec-9911-66d292ce846f,5.0,3.0,4.0,0.0,12.0,0.25,0.3333333333333333,0.0,0.4166666666666667
78,gears_2.5191-babaa9e9-312d-4429-8546-0b7b2395d92c,6.0,7.0,7.0,16.0,36.0,0.19444444444444445,0.19444444444444445,0.4444444444444444,0.16666666666666666
79,gears_2.5235-eb1c8b46-bab0-42e7-8fea-bc50850cd0de,7.0,6.0,6.0,0.0,19.0,0.3157894736842105,0.3157894736842105,0.0,0.3684210526315789
80,gears_2.5369-de50eae9-8b3d-44d0-89c1-b279c4fea591,6.0,77.0,56.0,0.0,139.0,0.5539568345323741,0.4028776978417266,0.0,0.04316546762589928
81,gears_2.5854-18de046e-63e2-4225-89ae-e606873818b0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
82,gears_2.6182-d61fc503-aec8-4628-a767-04fadedc083f,1.0,16.0,14.0,0.0,31.0,0.5161290322580645,0.45161290322580644,0.0,0.03225806451612903
83,gears_2.6317-08207a69-0532-454a-a7d0-1f5618708db0,2.0,3.0,3.0,15.0,23.0,0.13043478260869565,0.13043478260869565,0.6521739130434783,0.08695652173913043
84,gears_2.6913-0d12dbb2-8462-4303-b6cf-7479942d1541,7.0,3.0,3.0,0.0,13.0,0.23076923076923078,0.23076923076923078,0.0,0.5384615384615384
85,gears_2.6930-a8fd4222-86f3-4623-99f4-fb8794cd4962,12.0,8.0,6.0,0.0,26.0,0.3076923076923077,0.23076923076923078,0.0,0.46153846153846156
86,gears_2.6943-85eb7519-bc4d-4f4f-8a72-18670800d8e6,9.0,3.0,3.0,6.0,21.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855
87,gears_2.6945-10eab378-7b98-4663-bd65-4d741b54cbcc,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.5,0.5
88,gears_2.7376-6f5f07d7-86c3-4c4c-a052-3634d7755b9d,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0
89,gears_2.7539-a65b7363-3afb-43a6-850a-5c80a1202ddc,5.0,3.0,4.0,0.0,12.0,0.25,0.3333333333333333,0.0,0.4166666666666667
90,gears_2.7873-86193d3b-b7ba-4998-b5c2-eef9e242d7d5,2.0,3.0,5.0,0.0,10.0,0.3,0.5,0.0,0.2
91,gears_2.7949-a2356f93-f47d-4e7d-ae6d-11f1e8409b36,2.0,3.0,3.0,0.0,8.0,0.375,0.375,0.0,0.25
92,gears_2.8099-977cb375-6430-4168-9a78-d0ac87428542,0.0,3.0,3.0,13.0,19.0,0.15789473684210525,0.15789473684210525,0.6842105263157895,0.0
