,sketchID,roi_labelName,numBackground,numCausal,numFunctional,numSymbol,totalStrokes,propCausal,propFunctional,propSymbol,propBackground
53,gears_1.1568-93d31830-7fa2-4f39-8dac-4da643666140,gear_4.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
54,gears_1.1881-7a2da28a-47fe-4371-abd1-e8ca6740eada,background_5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
55,gears_1.1881-7a2da28a-47fe-4371-abd1-e8ca6740eada,gear_1.0,0.0,0.0,11.0,0.0,11.0,0.0,1.0,0.0,0.0
56,gears_1.1881-7a2da28a-47fe-4371-abd1-e8ca6740eada,gear_2.0,0.0,0.0,12.0,0.0,12.0,0.0,1.0,0.0,0.0
57,gears_1.1881-7a2da28a-47fe-4371-abd1-e8ca6740eada,gear_3.0,0.0,11.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0
58,gears_1.1881-7a2da28a-47fe-4371-abd1-e8ca6740eada,gear_4.0,0.0,13.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0
59,gears_1.1887-0675d919-20c4-4940-9610-d294d43c9bc1,background_5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
60,gears_1.1887-0675d919-20c4-4940-9610-d294d43c9bc1,gear_1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
61,gears_1.1887-0675d919-20c4-4940-9610-d294d43c9bc1,gear_2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
62,gears_1.1887-0675d919-20c4-4940-9610-d294d43c9bc1,gear_3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
63,gears_1.1887-0675d919-20c4-4940-9610-d294d43c9bc1,gear_4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
64,gears_1.1887-0675d919-20c4-4940-9610-d294d43c9bc1,symbols_nan,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0
65,gears_1.1991-e997567a-fe35-409f-a17b-8a14b7585294,background_5.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
66,gears_1.1991-e997567a-fe35-409f-a17b-8a14b7585294,gear_1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
67,gears_1.1991-e997567a-fe35-409f-a17b-8a14b7585294,gear_2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
68,gears_1.1991-e997567a-fe35-409f-a17b-8a14b7585294,gear_3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
69,gears_1.1991-e997567a-fe35-409f-a17b-8a14b7585294,gear_4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
70,gears_1.2659-dd1b5c39-13c7-4a69-836f-03279f53939d,gear_3.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0
71,gears_1.2659-dd1b5c39-13c7-4a69-836f-03279f53939d,gear_4.0,0.0,7.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0
72,gears_1.2659-dd1b5c39-13c7-4a69-836f-03279f53939d,symbols_nan,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,0.0
73,gears_1.2803-ce4e1ad2-c29d-4097-9d03-c5097c1e103e,background_5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
74,gears_1.2803-ce4e1ad2-c29d-4097-9d03-c5097c1e103e,gear_1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
75,gears_1.2803-ce4e1ad2-c29d-4097-9d03-c5097c1e103e,gear_2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
76,gears_1.2803-ce4e1ad2-c29d-4097-9d03-c5097c1e103e,gear_3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
77,gears_1.2803-ce4e1ad2-c29d-4097-9d03-c5097c1e103e,gear_4.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
78,gears_1.2803-ce4e1ad2-c29d-4097-9d03-c5097c1e103e,symbols_nan,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0
79,gears_1.2989-156d9df6-e309-430b-bbac-e47b6792127e,background_5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
80,gears_1.2989-156d9df6-e309-430b-bbac-e47b6792127e,gear_1.0,0.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0
