,sketchID,numBackground,numCausal,numFunctional,numSymbol,totalStrokes,propCausal,propFunctional,propSymbol,propBackground
70,gears_2.3890-0990b186-d2cb-4b92-98cb-eb634cf917b8,8.0,3.0,4.0,0.0,15.0,0.2,0.26666666666666666,0.0,0.5333333333333333
71,gears_2.4032-8dfa87ba-2459-483b-a538-b02c05bbdab2,1.0,6.0,6.0,0.0,13.0,0.46153846153846156,0.46153846153846156,0.0,0.07692307692307693
72,gears_2.4439-0eca0566-7cd9-4da5-b710-085e65a285e5,2.0,3.0,5.0,8.0,18.0,0.16666666666666666,0.2777777777777778,0.4444444444444444,0.1111111111111111
73,gears_2.4564-a9b5aa08-b02c-4ba3-a97d-be23a7fd9cc3,8.0,5.0,4.0,0.0,17.0,0.29411764705882354,0.23529411764705882,0.0,0.47058823529411764
74,gears_2.4565-36193ae4-51f5-4fa7-8105-88a5da44b9da,0.0,23.0,20.0,6.0,49.0,0.46938775510204084,0.40816326530612246,0.12244897959183673,0.0
75,gears_2.4621-e895c1a2-bb35-4aaa-9dea-1fbe89a16b08,5.0,3.0,3.0,0.0,11.0,0.2727272727272727,0.2727272727272727,0.0,0.45454545454545453
76,gears_2.4659-683c0845-cf14-4240-bd20-573c8b7926d8,6.0,4.0,4.0,9.0,23.0,0.17391304347826086,0.17391304347826086,0.391304347826087,0.2608695652173913
77,gears_2.4786-26a27eb2-3267-43ec-9911-66d292ce846f,5.0,3.0,4.0,0.0,12.0,0.25,0.3333333333333333,0.0,0.4166666666666667
78,gears_2.5191-babaa9e9-312d-4429-8546-0b7b2395d92c,6.0,8.0,7.0,17.0,38.0,0.21052631578947367,0.18421052631578946,0.4473684210526316,0.15789473684210525
79,gears_2.5235-eb1c8b46-bab0-42e7-8fea-bc50850cd0de,7.0,6.0,6.0,0.0,19.0,0.3157894736842105,0.3157894736842105,0.0,0.3684210526315789
80,gears_2.5369-de50eae9-8b3d-44d0-89c1-b279c4fea591,6.0,78.0,55.0,0.0,139.0,0.5611510791366906,0.39568345323741005,0.0,0.04316546762589928
81,gears_2.5854-18de046e-63e2-4225-89ae-e606873818b0,2.0,1.0,3.0,0.0,6.0,0.16666666666666666,0.5,0.0,0.3333333333333333
